,Time,Survival
0,0.0,1.0
1,0.5,1.0
2,1.0,1.0
3,1.5,1.0
4,2.0,1.0
5,2.5,1.0
6,3.0,1.0
7,3.5,1.0
8,4.0,1.0
9,4.5,1.0
10,5.0,0.9974526471463546
11,5.5,0.9936831134154616
12,6.0,0.9859287674808807
13,6.5,0.9828503813802744
14,7.0,0.9766339740721077
15,7.5,0.9737949617923508
16,8.0,0.9689162671088706
17,8.5,0.9662214354857434
18,9.0,0.962712529771463
19,9.5,0.9602381273410975
20,10.0,0.9575268123114776
21,10.5,0.9560500911260541
22,11.0,0.952699389800539
23,11.5,0.9508219131084642
24,12.0,0.9477242589176598
25,12.5,0.9462258257012105
26,13.0,0.9440110791961422
27,13.5,0.9426994220484968
28,14.0,0.9406652207433814
29,14.5,0.9398634800850443
30,15.0,0.9377297098763927
31,15.5,0.9368790343243845
32,16.0,0.9347203755448501
33,16.5,0.9341866786885791
34,17.0,0.9328236065548168
35,17.5,0.9321971988986149
36,18.0,0.9305987986337171
37,18.5,0.9293671743759707
38,19.0,0.9277838300334468
39,19.5,0.9272642595220929
40,20.0,0.9263908795615156
41,20.5,0.925639522326546
42,21.0,0.9240269077705924
43,21.5,0.9236623782977206
44,22.0,0.9228332808292365
45,22.5,0.9222252520644847
46,23.0,0.9210436738939894
47,23.5,0.9205163907594318
48,24.0,0.9194960722664364
49,24.5,0.9190028789047202
50,25.0,0.918153550939556
51,25.5,0.9176479623005052
52,26.0,0.9170867605203161
53,26.5,0.9168805121961698
54,27.0,0.9166722968191716
55,27.5,0.916408431147945
56,28.0,0.9162481277485509
57,28.5,0.9160860867774798
58,29.0,0.9159230050945493
59,29.5,0.9159230050945493
60,30.0,0.9159230050945493
61,30.5,0.915755598190332
62,31.0,0.9153615804906492
63,31.5,0.915248348119745
64,32.0,0.9150772810564828
65,32.5,0.91501963274912
66,33.0,0.9147881737601408
67,33.5,0.9146134572631175
68,34.0,0.9143788591866329
69,34.5,0.9142016454618054
70,35.0,0.914142377575092
71,35.5,0.9139626596755233
72,36.0,0.913902491023272
73,36.5,0.9138416911008389
74,37.0,0.9137808202281131
75,37.5,0.9137194047078359
76,38.0,0.9133477294548163
77,38.5,0.9131605309310081
78,39.0,0.9128464246567913
79,39.5,0.9127190908222659
80,40.0,0.9126549836035177
81,40.5,0.912590275531404
82,41.0,0.9123944311794724
83,41.5,0.912196360799987
84,42.0,0.9121298318475002
85,42.5,0.9119277656297325
86,43.0,0.9117235227362566
87,43.5,0.9117235227362566
88,44.0,0.9115843504028843
89,44.5,0.9113728472747625
90,45.0,0.9110874953470798
91,45.5,0.9107990786924629
92,46.0,0.91050734923857
93,46.5,0.9104337401029614
94,47.0,0.910284720971853
95,47.5,0.9100581112390653
96,48.0,0.9097534970736748
97,48.5,0.9096767967635442
98,49.0,0.9096767967635442
99,49.5,0.9095982996776318
100,50.0,0.9094404215314859
101,50.5,0.9093608225951884
102,51.0,0.9092802983031497
103,51.5,0.9091175145129836
104,52.0,0.9087913747816568
105,52.5,0.9087087237572902
106,53.0,0.9086256406925375
107,53.5,0.9086256406925375
108,54.0,0.9084570898010893
109,54.5,0.9084570898010893
110,55.0,0.9082009271490595
111,55.5,0.9082009271490595
112,56.0,0.9080278951791028
113,56.5,0.9079411282302975
114,57.0,0.9078535402763372
115,57.5,0.9077653614797694
116,58.0,0.9076769865788307
117,58.5,0.9074093825307675
118,59.0,0.9070504530092913
119,59.5,0.9070504530092913
120,60.0,0.9066878971255398
121,60.5,0.9066878971255398
122,61.0,0.9065959113235246
123,61.5,0.9064112575484493
124,62.0,0.9063185070066008
125,62.5,0.9062248908577002
126,63.0,0.9059420389520929
127,63.5,0.9059420389520929
128,64.0,0.9056557827826959
129,64.5,0.9055595483750891
130,65.0,0.9053659524909865
131,65.5,0.9053659524909865
132,66.0,0.9050726517747723
133,66.5,0.9048751757822022
134,67.0,0.9046763702229412
135,67.5,0.9046763702229412
136,68.0,0.9044741704278042
137,68.5,0.9043724363043091
138,69.0,0.9043724363043091
139,69.5,0.9040610412070265
140,70.0,0.9038524273673249
141,70.5,0.9036413306572474
142,71.0,0.9034289607085939
143,71.5,0.9032144253854184
144,72.0,0.9032144253854184
145,72.5,0.9028872548012701
146,73.0,0.9027772571937236
147,73.5,0.9023345340578107
148,74.0,0.9019996319299236
149,74.5,0.9018869195125723
150,75.0,0.9018869195125723
151,75.5,0.9017725720269655
152,76.0,0.901657965366156
153,76.5,0.901657965366156
154,77.0,0.9011955656210016
155,77.5,0.9011955656210016
156,78.0,0.9009611568853695
157,78.5,0.9009611568853695
158,79.0,0.9003692992324973
159,79.5,0.9003692992324973
160,80.0,0.9002502229948832
161,80.5,0.9001302350414084
162,81.0,0.9000098221130577
163,81.5,0.8997684366557842
164,82.0,0.8994043803207455
165,82.5,0.8991607638964572
166,83.0,0.8990386635840485
167,83.5,0.8990386635840485
168,84.0,0.8989159238583838
169,84.5,0.898669852862037
170,85.0,0.8984228126623958
171,85.5,0.8982989644327855
172,86.0,0.8980499534120155
173,86.5,0.897799694172476
174,87.0,0.8976739812232949
175,87.5,0.8975477517687191
176,88.0,0.8972944035570243
177,88.5,0.8972944035570243
178,89.0,0.8967822832523628
179,89.5,0.896524344490992
180,90.0,0.8963945626916494
181,90.5,0.8960028510279217
182,91.0,0.8956089677699043
183,91.5,0.895476901660253
184,92.0,0.8952104498762543
185,92.5,0.8950759163375347
186,93.0,0.8949405480118123
187,93.5,0.8948037794017089
188,94.0,0.8946660850580979
189,94.5,0.8945277785709611
